Timestamp,Text,Class
10/23/2020 20:19:43,"I’m pregnant. It will be scary, but I’m ready to face the challenges head on with you guys",Confident
10/23/2020 20:23:06,"Please join me in sending prayers, strength and good wishes to Kapil and Romi Dev for his speedy recovery. Kapil was taken to the hospital in time as he complained of uneasiness. As per the doctors the procedure has been successful and he will be home soon. ",Sad
10/23/2020 20:25:27,the feeling or belief that one can rely on someone or something; firm trust is confidence,Confident
10/23/2020 20:25:48,"When we feel confident in others, we know and trust in their ability to do what they have promised.",Confident
10/23/2020 20:26:21,"When we feel confident in ourselves, we are able to trust in our own abilities, qualities, and judgement.",Confident
10/23/2020 20:26:50,"When you have a lot of confidence and you feel like nobody can beat you, it’s game over for everyone else.",Confident
10/23/2020 20:27:41,"As is our confidence, so is our capacity. Confidence is contagious. So is lack of confidence. When you have confidence, you can do anything.",Confident
10/23/2020 20:28:13,"Faith is a living, daring confidence in God’s grace, so sure and certain that a man could stake his life on it a thousand times.",Optimistic
10/23/2020 20:28:56,"Confidence is when you believe in yourself and your abilities, arrogance is when you think you are better than others and act accordingly.",Confident
10/23/2020 20:29:52,Success gave me confidence as an artist. And now I’m able to do what I want without anybody thinking it’s dumb.,Confident
10/23/2020 20:30:33,Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love.,Friendly
10/23/2020 20:30:58,"Doubt can motivate you, so don’t be afraid of it. Confidence and doubt are at two ends of the scale, and you need both. They balance each other out.",Analytical
10/23/2020 20:31:34,"A fit body gives you confidence. And there’s nothing more impressive than a great attitude, which you can wear on your sleeve. But you’ll have to remember the difference between being rude and being confident.",Confident
10/23/2020 20:31:53,Find what makes you feel comfortable. The confidence you wear your clothes in is what’s really going to shine.,Confident
10/23/2020 20:32:14,I’ve always had confidence. It came because I have lots of initiative. I wanted to make something of myself.,Confident
10/23/2020 20:34:06,"I think about trust and confidence as something that you earn every day, and we will keep at it, earning it every day.",Optimistic
10/23/2020 20:34:27,"Successful people often exude confidence – it’s obvious that they believe in themselves and what they’re doing. It isn’t their success that makes them confident, however. The confidence was there first.",Optimistic
10/23/2020 20:36:20,I think the best way to have confidence is not to allow everyone else’s insecurities to be your own.,Confident
10/23/2020 20:36:59,"I taught myself confidence. When I’d walk into a room and feel scared to death, I’d tell myself, ‘I’m not afraid of anybody.’ And people believed me. You’ve got to teach yourself to take over the world",Confident
10/23/2020 20:37:16,"For me, it’s always been about preparation, and the more prepared I can be each week, the less pressure I feel and the more confident I am. As your confidence grows, it’s only natural that the pressure you feel diminishes.",Confident
10/23/2020 20:37:39,"Life is not easy for any of us. But what of that? We must have perseverance and above all confidence in ourselves. We must believe that we are gifted for something and that this thing, at whatever cost, must be attained.",Optimistic
10/23/2020 20:38:42,"Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, Who am I to be brilliant, gorgeous, talented, fabulous? Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won’t feel insecure around you. We are all meant to shine, as children do. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.",Optimistic
